# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 18 01:13:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc, sy_pnum asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
TOI-4633 c,TOI-4633,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,271.94450000,0.00390000,-0.00400000,0,0.847000,0.061000,-0.061000,0,3.200,0.200,-0.190,0,123.00000,,,1,0.38700,,,1,Mass,0.117000,0.186000,-0.085000,0,1.56,0.20,-0.16,0,,,,,0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,G V,5800.00,50.00,-50.00,0,1.05,0.05,-0.05,0,1.10,0.06,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m22.34s,256.8431021,+62d28m31.97s,62.4755480,95.2016000,0.2390000,-0.2377000
TOI-1751 b,TOI-1751,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=DESAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207110D/abstract target=ref>Desai et al. 2024</a>,37.46849000,0.00008200,-0.00007500,0,0.211600,0.002300,-0.002300,0,2.770,0.150,-0.070,0,14.50000,3.15000,-3.14000,0,0.04562,0.00991,-0.00988,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=DESAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207110D/abstract target=ref>Desai et al. 2024</a>,,5996.00,110.00,-110.00,0,1.20,0.06,-0.03,0,0.90,0.03,-0.03,0,-0.400,0.060,-0.060,0,[Fe/H],4.24,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m57.32s,243.4888534,+63d32m00.71s,63.5335297,113.3350000,0.2930000,-0.2910000
TOI-2120 b,TOI-2120,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,5.79981640,0.00000350,-0.00000350,0,0.037700,0.001300,-0.001300,0,2.122,0.065,-0.065,0,6.80000,,,1,0.02140,,,1,Mass,0.320000,0.080000,-0.080000,0,3.61,0.24,-0.22,0,384,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3131.00,30.00,-30.00,0,0.24,0.01,-0.01,0,0.21,0.01,-0.01,0,0.390,0.220,-0.220,0,[Fe/H],4.99,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m01.76s,23.5073150,+65d30m50.36s,65.5139877,32.1755000,0.0529000,-0.0528000
TOI-1386 b,TOI-1386,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,25.83839000,0.00013000,-0.00013000,0,0.173200,0.002700,-0.003300,0,6.053,0.202,-0.179,0,47.03860,6.03874,-5.72091,0,0.14800,0.01900,-0.01800,0,Mass,0.061000,0.056000,-0.042000,0,34.68,2.13,-1.76,0,676,10,-8,0,0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,G5V,5793.00,76.00,-73.00,0,1.01,0.03,-0.03,0,1.04,0.05,-0.06,0,0.164,0.056,-0.056,0,[Fe/H],4.44,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m00.98s,334.5041029,+54d19m08.56s,54.3190454,146.8580000,0.6870000,-0.6800000
TOI-1450 A b,TOI-1450 A,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,2.04392740,0.00000100,-0.00000100,0,,,,,1.130,0.043,-0.043,0,1.25800,0.12800,-0.12800,0,0.00396,0.00040,-0.00040,0,Mass,,,,,,,,,722,35,-35,0,0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,M3.0 V,3437.00,86.00,-86.00,0,0.48,0.03,-0.03,0,0.48,0.02,-0.02,0,-0.120,0.170,-0.170,0,[Fe/H],4.76,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m24.98s,286.8540627,+59d05m11.85s,59.0866254,22.4467000,0.0132000,-0.0131000
TOI-1347 b,TOI-1347,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,0.84742346,0.00000061,-0.00000061,0,,,,,1.800,0.100,-0.100,0,11.10000,1.20000,-1.20000,0,0.03492,0.00378,-0.00378,0,Mass,0.000000,,,0,,,,,1400,40,-40,0,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,,5464.00,100.00,-100.00,0,0.83,0.03,-0.03,0,0.91,0.03,-0.03,0,0.040,0.060,-0.060,0,[Fe/H],4.64,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,1.0500000,-1.0350000
TOI-1347 c,TOI-1347,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,4.84196200,0.00001200,-0.00001200,0,,,,,1.600,0.100,-0.100,0,6.40000,,,1,0.02014,,,1,Mass,0.000000,,,0,,,,,1000,25,-25,0,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,,5464.00,100.00,-100.00,0,0.83,0.03,-0.03,0,0.91,0.03,-0.03,0,0.040,0.060,-0.060,0,[Fe/H],4.64,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,1.0500000,-1.0350000
TOI-2145 b,TOI-2145,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,10.26075000,0.00083000,-0.00082000,0,0.110800,0.001200,-0.001600,0,11.982,0.325,-0.314,0,1671.77742,120.77479,-117.59651,0,5.26000,0.38000,-0.37000,0,Mass,0.208000,0.034000,-0.047000,0,,,,,1484,16,-14,0,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,,6177.00,67.00,-67.00,0,2.75,0.07,-0.06,0,1.72,0.06,-0.07,0,0.247,0.074,-0.072,0,[Fe/H],3.79,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h35m01.94s,263.7580753,+40d41m42.15s,40.6950428,224.7310000,1.1020000,-1.0920000
TOI-1416 b,TOI-1416,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=DEEG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230518542D/abstract target=ref>Deeg et al. 2023</a>,1.06975680,0.00000280,-0.00000280,0,0.019000,0.000300,-0.000300,0,1.620,0.080,-0.080,0,3.48000,0.47000,-0.47000,0,0.01095,0.00148,-0.00148,0,Mass,0.000000,,,0,883.00,96.00,-96.00,0,1517,39,-39,0,0,<a refstr=DEEG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230518542D/abstract target=ref>Deeg et al. 2023</a>,G9 V,4884.00,70.00,-70.00,0,0.79,0.04,-0.03,0,0.80,0.04,-0.04,0,0.080,0.050,-0.050,0,[Fe/H],4.52,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h27m41.64s,216.9234892,+41d57m10.75s,41.9529862,55.0135000,0.0775000,-0.0772000
TOI-3976 A b,TOI-3976 A,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,6.60766200,0.00001600,-0.00001500,0,0.074300,0.001300,-0.001400,0,12.274,0.404,-0.392,0,55.61997,11.75965,-11.44182,0,0.17500,0.03700,-0.03600,0,Mass,0.000000,,,0,469.00,23.00,-20.00,0,1295,16,-14,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5975.00,70.00,-69.00,0,1.50,0.04,-0.04,0,1.25,0.07,-0.07,0,0.182,0.078,-0.079,0,[Fe/H],4.18,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h57m25.44s,224.3560083,+44d16m27.56s,44.2743223,516.0870000,5.9170000,-5.7880000
TOI-5704 b,TOI-5704,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,3.77111600,0.00001150,-0.00001070,0,,,,,3.227,0.187,-0.140,0,,,,,,,,,,,,,,,,,,949,,,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,4590.00,126.00,-126.00,0,0.76,0.06,-0.06,0,0.73,0.08,-0.08,0,0.428,0.100,-0.100,0,[Fe/H],4.54,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h19m17.97s,169.8248694,+44d59m20.68s,44.9890782,89.6370000,0.2702000,-0.2687000
TOI-2583 A b,TOI-2583 A,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.52072650,0.00000490,-0.00000490,0,0.057100,0.001000,-0.001300,0,14.460,0.448,-0.370,0,79.45710,18.43405,-17.79839,0,0.25000,0.05800,-0.05600,0,Mass,0.000000,,,0,750.90,39.70,-32.30,0,1456,19,-16,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5936.00,65.00,-68.00,0,1.48,0.04,-0.03,0,1.22,0.06,-0.08,0,0.158,0.084,-0.085,0,[Fe/H],4.18,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h09m04.09s,272.2670293,+45d20m12.84s,45.3368996,566.1890000,6.4700000,-6.3280000
HD 235088 b,HD 235088,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=ORELL_MIQUEL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705191O/abstract target=ref>Orell-Miquel et al. 2023</a>,7.43413930,0.00000620,-0.00000620,0,0.072000,0.002600,-0.002600,0,2.045,0.075,-0.075,0,,,,,,,,,,,,,,70.00,5.00,-5.00,0,805,13,-12,0,0,<a refstr=ORELL_MIQUEL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705191O/abstract target=ref>Orell-Miquel et al. 2023</a>,K2 V,5037.00,14.00,-14.00,0,0.79,0.02,-0.02,0,0.84,0.03,-0.06,0,-0.010,0.020,-0.020,0,[Fe/H],4.63,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h02m27.71s,300.6154535,+53d22m38.79s,53.3774418,41.1706000,0.0414000,-0.0414000
TOI-2010 b,TOI-2010,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,141.83402500,0.00006500,-0.00006600,0,0.551600,0.007800,-0.009300,0,11.814,0.303,-0.303,0,408.72733,17.48056,-18.11622,0,1.28600,0.05500,-0.05700,0,Mass,0.212000,0.022000,-0.021000,0,4.09,0.22,-0.21,0,400,6,-6,0,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,F0,5929.00,74.00,-74.00,0,1.08,0.03,-0.03,0,1.11,0.05,-0.06,0,0.168,0.055,-0.055,0,[Fe/H],4.42,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m40.07s,292.1669417,+53d29m14.53s,53.4873694,109.1900000,0.3220000,-0.3200000
TOI-3688 A b,TOI-3688 A,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,3.24607500,0.00001200,-0.00001200,0,0.045600,0.000890,-0.000980,0,13.081,0.538,-0.493,0,311.47184,31.78284,-34.96112,0,0.98000,0.10000,-0.11000,0,Mass,0.000000,,,0,924.30,72.00,-66.10,0,1534,29,-28,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5950.00,100.00,-100.00,0,1.30,0.04,-0.04,0,1.20,0.07,-0.08,0,0.262,0.085,-0.086,0,[Fe/H],4.29,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h37m07.76s,39.2823371,+54d51m04.37s,54.8512152,396.3780000,6.0300000,-5.8550000
TOI-3785 b,TOI-3785,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=POWERS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...44P/abstract target=ref>Powers et al. 2023</a>,4.67473730,0.00000380,-0.00000380,0,0.043000,0.001000,-0.001000,0,5.140,0.160,-0.160,0,14.95000,4.10000,-3.92000,0,0.04704,0.01290,-0.01233,0,Mass,0.110000,0.100000,-0.080000,0,19.10,2.00,-2.00,0,582,16,-16,0,0,<a refstr=POWERS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...44P/abstract target=ref>Powers et al. 2023</a>,M2 V,3576.00,88.00,-88.00,0,0.50,0.01,-0.01,0,0.52,0.02,-0.02,0,0.099,0.117,-0.117,0,[Fe/H],4.75,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h43m36.05s,130.9002258,+63d04m41.08s,63.0780768,79.7634000,0.2243000,-0.2230000
TOI-1680 b,TOI-1680,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GHACHOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705368G/abstract target=ref>Ghachoui et al. 2023</a>,4.80263450,0.00000400,-0.00000390,0,0.031440,0.000250,-0.000260,0,1.466,0.063,-0.049,0,,,,,,,,,,,,,,4.41,0.62,-0.55,0,404,14,-14,0,0,<a refstr=GHACHOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705368G/abstract target=ref>Ghachoui et al. 2023</a>,M4.5+/-0.5,3225.00,99.00,-100.00,0,0.21,0.01,0.00,0,0.18,0.00,0.00,0,0.040,0.200,-0.200,0,[Fe/H],5.05,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m15.35s,292.3139790,+65d58m25.69s,65.9738018,37.2209000,0.0617000,-0.0614000
TOI-1420 b,TOI-1420,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,6.95610630,0.00000170,-0.00000170,0,0.071000,0.001200,-0.001200,0,11.890,0.330,-0.330,0,25.10000,3.80000,-3.80000,0,0.07897,0.01196,-0.01196,0,Mass,0.170000,,,1,139.00,10.00,-10.00,0,957,17,-17,0,0,<a refstr=YOSHIDA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..181Y/abstract target=ref>Yoshida et al. 2023</a>,,5510.00,110.00,-110.00,0,0.92,0.02,-0.02,0,0.99,0.05,-0.05,0,0.280,0.074,-0.074,0,[Fe/H],4.50,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h31m46.03s,322.9418092,+66d20m56.42s,66.3490054,201.9180000,0.9180000,-0.9110000
TOI-4582 b,TOI-4582,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=GRUNBLATT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...44G/abstract target=ref>Grunblatt et al. 2023</a>,31.03400000,0.00100000,-0.00100000,0,,,,,10.536,1.009,-1.345,0,168.44906,15.89142,-15.89142,0,0.53000,0.05000,-0.05000,0,Mass,0.510000,0.050000,-0.050000,0,,,,,,,,,0,<a refstr=GRUNBLATT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...44G/abstract target=ref>Grunblatt et al. 2023</a>,,5190.00,100.00,-100.00,0,2.50,0.10,-0.10,0,1.34,0.06,-0.06,0,0.170,0.060,-0.060,0,[Fe/H],3.77,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m26.43s,256.8601374,+68d51m56.25s,68.8656263,383.8460000,3.6280000,-3.5620000
TOI-3807 b,TOI-3807,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.89897270,0.00000380,-0.00000390,0,0.042100,0.000700,-0.001100,0,18.495,,,-1,330.54154,47.67426,-44.49598,0,1.04000,0.15000,-0.14000,0,Mass,0.000000,,,0,1230.00,73.00,-73.00,0,1646,25,-24,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5772.00,84.00,-80.00,0,1.47,0.04,-0.04,0,1.18,0.06,-0.09,0,0.278,0.084,-0.081,0,[Fe/H],4.17,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h16m27.02s,139.1125648,+69d04m26.86s,69.0741284,421.7450000,4.6610000,-4.5610000
