# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 08:48:12 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1273 b,TOI-1273,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,4.63129600,0.054900,11.097,0.990,70.55791,0.22200,Mass,0.055000,,1211,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,,5690.00,1.06,1.06,0.070,[Fe/H],4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h16m29.01s,214.1208564,+58d23m24.91s,58.3902534,177.1180000,10.9800000,9.4170000,10.8662000,2024-03-05,2024-02,2024-03-05
TOI-1450 A b,TOI-1450 A,1,2,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,2.04392740,,1.130,0.101,1.25800,0.00396,Mass,,,722,0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,M3.0 V,3437.00,0.48,0.48,-0.120,[Fe/H],4.76,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m24.98s,286.8540627,+59d05m11.85s,59.0866254,22.4467000,12.2800000,7.5650000,11.2394000,2024-06-10,2024-05,2024-06-13
TOI-1450 A c,TOI-1450 A,1,2,2,Transit,2024,Gemini Observatory,Published Confirmed,0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,5.06880000,,,,1.52700,0.00480,Msini,,,533,0,<a refstr=BRADY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240510400B/abstract target=ref>Brady et al. 2024</a>,M3.0 V,3437.00,0.48,0.48,-0.120,[Fe/H],4.76,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m24.98s,286.8540627,+59d05m11.85s,59.0866254,22.4467000,12.2800000,7.5650000,11.2394000,2024-06-10,2024-05,2024-06-13
TOI-2068 b,TOI-2068,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,7.76891500,0.063200,1.821,0.162,,,,,12.23,521,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3710.00,0.54,0.56,0.270,[Fe/H],4.73,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m05.65s,186.2735600,+60d25m06.04s,60.4183455,52.9328000,13.0070000,9.0070000,12.2210000,2024-04-15,2023-11,2024-04-15
TOI-1199 b,TOI-1199,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,3.67146300,0.049880,10.514,0.938,75.96099,0.23900,Mass,0.030000,,1486,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,,5710.00,1.45,1.23,0.440,[Fe/H],4.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m31.36s,166.8806581,+61d21m09.26s,61.3525723,248.4270000,11.0930000,9.4660000,10.8853000,2024-03-05,2024-02,2024-03-05
TOI-4633 c,TOI-4633,1,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,271.94450000,0.847000,3.200,0.285,123.00000,0.38700,Mass,0.117000,1.56,,0,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,G V,5800.00,1.05,1.10,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m22.34s,256.8431021,+62d28m31.97s,62.4755480,95.2016000,9.0170000,7.3490000,8.8198300,2024-05-13,2024-05,2024-05-13
TOI-1751 b,TOI-1751,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DESAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207110D/abstract target=ref>Desai et al. 2024</a>,37.46849000,0.211600,2.770,0.247,14.50000,0.04562,Mass,0.000000,,,0,<a refstr=DESAI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207110D/abstract target=ref>Desai et al. 2024</a>,,5996.00,1.20,0.90,-0.400,[Fe/H],4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m57.32s,243.4888534,+63d32m00.71s,63.5335297,113.3350000,9.3270000,7.9340000,9.1894100,2024-02-16,2024-02,2024-02-16
TOI-2120 b,TOI-2120,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,5.79981640,0.037700,2.122,0.189,6.80000,0.02140,Mass,0.320000,3.61,384,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3131.00,0.24,0.21,0.390,[Fe/H],4.99,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m01.76s,23.5073150,+65d30m50.36s,65.5139877,32.1755000,15.6480000,10.2050000,14.1872000,2024-06-10,2024-06,2024-06-13
TOI-1347 b,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,0.84742346,,1.800,0.161,11.10000,0.03492,Mass,0.000000,,1400,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,,5464.00,0.83,0.91,0.040,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,11.1680000,9.6160000,11.2087000,2024-03-04,2024-02,2024-03-04
TOI-1347 c,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,4.84196200,,1.600,0.143,6.40000,0.02014,Mass,0.000000,,1000,0,<a refstr=RUBENZAHL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207451R/abstract target=ref>Rubenzahl et al. 2024</a>,,5464.00,0.83,0.91,0.040,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,11.1680000,9.6160000,11.2087000,2024-03-04,2024-02,2024-03-04
Kepler-1977 b,Kepler-1977,1,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,4.53702121,0.048600,1.660,,,,,0.000000,95.61,798,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4805.00,0.69,0.77,-0.060,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m28.29s,290.6178587,+37d17m20.76s,37.2891002,592.7110000,16.0470000,13.3580000,15.6540000,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1978 b,Kepler-1978,1,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,10.84969477,0.091400,2.670,,,,,0.000000,49.30,676,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5251.00,0.78,0.87,-0.040,[Fe/H],4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m01.62s,286.0067312,+38d00m34.35s,38.0095407,865.5120000,15.4900000,13.4400000,15.3665000,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-454 d,Kepler-454,1,2,3,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,4073.00000000,5.100000,,,734.18362,2.31000,Msini,0.089000,,,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5687.00,1.07,1.03,0.320,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,11.5670000,9.9680000,11.4395000,2023-04-17,2023-04,2023-04-17
Kepler-1979 b,Kepler-1979,1,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,18.50845260,0.138300,29.330,,,,,0.000000,51.32,683,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5942.00,0.94,1.03,-0.060,[Fe/H],4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m22.30s,289.8429062,+38d18m34.64s,38.3096220,1076.2700000,15.4840000,13.6110000,15.2323000,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-975 c,Kepler-975,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,5.05821338,0.056700,10.690,,,,,0.000000,439.80,1168,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4883.00,1.67,0.95,0.560,[Fe/H],3.97,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m11.64s,290.5485100,+38d29m42.87s,38.4952415,426.0880000,14.6330000,12.1900000,14.4518000,2017-05-08,2017-08-31 00:00,2017-05-08
